Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S108782630,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-24,,Historical,,1,,,,,,Lista de Mackinnon
S112983867,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-06-15,08:21 AM,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: urbano; Local: Centro Olímpico UnB.
S119526476,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-09-27,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: CO.
S114038568,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-06-29,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: natural; Local: IBGE.
S116123148,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-07-29,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: Reserva Ecológica do IBGE.
S120034387,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-10-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: IBGE.
S108868689,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2018-05-11,,Historical,,1,,,,,,Isadora Machado  Mackinnon
S108864968,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2019-09-09,,Historical,,1,,,,,,José Marcos  Mackinnon
S108784057,gavião-carijó,Rupornis magnirostris,8334,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2022-04-09,,Historical,,1,,,,,,Lista de Mackinnon
S225655410,gavião-carijó,Rupornis magnirostris,8334,1,BR-DF,Brasília,L42656429,"Reserva do CO, cerrado cerradão",-15.7665949,-47.8557141,2025-04-09,08:30 AM,eBird - Traveling Count,25,1,.2,,2,,,Marília Lima e Roberto Cavalcanti
S225650663,gavião-carijó,Rupornis magnirostris,8334,1,BR-DF,Brasília,L42655531,"Reserva ecológica do CO, cerrado cerradão",-15.7644677,-47.8571105,2025-04-09,07:25 AM,eBird - Traveling Count,25,1,.3,,2,,,Marília Lima e Roberto Cavalcanti
S223746213,gavião-carijó,Rupornis magnirostris,8334,1,BR-DF,Brasília,L42262223,UnB CO caiaque,-15.7603449,-47.8595451,2025-04-04,05:00 PM,eBird - Traveling Count,40,1,1.,,2,,,Helena Falkenberg e Roberto Cavalcanti
S114038568,gavião-de-rabo-branco,Geranoaetus albicaudatus,8353,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-06-29,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: natural; Local: IBGE.
S120034426,águia-serrana,Geranoaetus melanoleucus,8362,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-10-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: IBGE.
S109129536,gavião-de-cauda-curta,Buteo brachyurus,8405,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-01-30,,Historical,,1,,,,,,Lista de Mackinnon: Autor: José Marcos; Ambiente: natural; Local: FAL-capetinga.
S93645270,coruja-buraqueira,Athene cunicularia,9032,1,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-16,07:06 AM,Historical,40,1,1.2,,2
S93645586,coruja-buraqueira,Athene cunicularia,9032,1,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-21,07:10 AM,Historical,90,1,1.02,,2
S93645654,coruja-buraqueira,Athene cunicularia,9032,2,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-23,07:16 AM,Historical,50,1,.99,,2
S93646063,coruja-buraqueira,Athene cunicularia,9032,1,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-25,07:16 AM,Historical,50,1,.8,,2
S108819441,coruja-buraqueira,Athene cunicularia,9032,X,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2019-07-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Thaís Damasceno; Ambiente: Urbano; Local: Praça dos Cristais.
S98158717,coruja-buraqueira,Athene cunicularia,9032,2,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2021-11-24,07:30 AM,Historical,90,1,1.,,5,,,Orientador e novos estudantes integrantes do LaBIO; observação de ninhos e ninhegos de aves migratórias e locais.,391432871 391432961 391433071 391433161
S108930885,coruja-buraqueira,Athene cunicularia,9032,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2018-11-05,,Historical,,0,,,,,,Lista de Mackinnon: Autor: Isadora Machado; Ambiente: urbano; Local: CO
S108967642,coruja-buraqueira,Athene cunicularia,9032,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-10-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Susan Silva; Ambiente: urbano; Local: CO-sensu strictu.
S97750591,coruja-buraqueira,Athene cunicularia,9032,3,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-08-27,07:30 AM,Historical,90,1,2.,,3,,,Equipe LaBio observando movimento de aves migratórias.,389035941 389036011 389036051
S97686638,coruja-buraqueira,Athene cunicularia,9032,4,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-09-15,07:30 AM,Historical,90,1,3.,,2,,,Dupla da equipe LaBio registrando aves migratórias e eventos reprodutivos .,388677271 388677321
S97495409,coruja-buraqueira,Athene cunicularia,9032,3,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-09-22,07:30 AM,Historical,90,1,2.,,2,,,Saída de campo para observação de comportamento de aves migratórias e eventos reprodutivos de aves regionais.,387543141
S97801576,coruja-buraqueira,Athene cunicularia,9032,3,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-10-29,07:30 AM,Historical,120,1,2.,,3,,,"Orientador e 2 estagiárias LaBIO. Observação de aves migratórias , reprodução e ninhos.",389411391
S115757289,coruja-buraqueira,Athene cunicularia,9032,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-07-25,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: Centro Olímpico UnB
S112485130,coruja-buraqueira,Athene cunicularia,9032,X,BR-DF,Brasília,L19537877,Estação biológica unb,-15.7349686,-47.8832459,2017-09-04,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Roberto Cavalcanti; Ambiente: urbano; Local: estação biológica unb.
S108783794,coruja-buraqueira,Athene cunicularia,9032,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2022-04-09,,Historical,,1,,,,,,Lista de Mackinnon
S223742319,coruja-buraqueira,Athene cunicularia,9032,1,BR-DF,Brasília,L42261292,UnB Praça Maior,-15.7619203,-47.8676025,2025-03-25,04:30 PM,eBird - Traveling Count,30,1,.5,,2,,,Marília Lima e Roberto Cavalcanti
S108966972,martim-pescador-grande,Megaceryle torquata,10197,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-09-04,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Gabriela Mourão; Ambiente: urbano; Local: CO.
S108968561,martim-pescador-grande,Megaceryle torquata,10197,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-12-06,,Historical,,0,,,,,,Lista de Mackinnon: Autor: Beatriz; Ambiente: urbano; Local: CO.
S97750591,martim-pescador-grande,Megaceryle torquata,10197,1,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-08-27,07:30 AM,Historical,90,1,2.,,3,,,Equipe LaBio observando movimento de aves migratórias.
S97495409,martim-pescador-grande,Megaceryle torquata,10197,1,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-09-22,07:30 AM,Historical,90,1,2.,,2,,,Saída de campo para observação de comportamento de aves migratórias e eventos reprodutivos de aves regionais.
S97799463,martim-pescador-grande,Megaceryle torquata,10197,1,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-10-22,07:30 AM,Historical,120,1,2.,,2,,,Orientador e 2 estagiárias LaBIO observando ninhos e comportamento reprodutivo de aves locais.,389326201
S108782278,martim-pescador-grande,Megaceryle torquata,10197,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-23,,Historical,,1,,,,,,Lista de Mackinnon
S112999918,martim-pescador-grande,Megaceryle torquata,10197,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-06-15,07:35 AM,eBird - Traveling Count,12,1,.33,,1,,,Lista MacKinnon (marcar LaBIO)
S112983702,martim-pescador-grande,Megaceryle torquata,10197,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-06-15,07:53 AM,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: urbano; Local: Centro Olímpico UnB.
S115757474,martim-pescador-grande,Megaceryle torquata,10197,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-07-25,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: Centro Olímpico UnB
S108925204,martim-pescador-grande,Megaceryle torquata,10197,X,BR-DF,Brasília,L18843819,Parque Nacional de Brasília-Barragem,-15.680029,-47.9514848,2019-01-02,,Historical,,1,,,,,,"Lista de Mackinnon: Autor: Isadora Turella, Ambiente: Natural; Local: PNB-barragem."
S93554794,martim-pescador-verde,Chloroceryle amazona,10208,2,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-08-06,07:30 AM,Historical,120,1,3.,,5,,,"Manhã nublada, em cerrado stricto sensu no Centro Olímpico da Universidade de Brasília."
S108970083,martim-pescador-verde,Chloroceryle amazona,10208,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2018-05-31,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Ilza Fujiyama; Ambiente: urbano; Local: Olhos d'água
S108851067,martim-pescador sp.,Alcedinidae sp.,10222,X,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2022-04-15,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: Urbano; Local: Praça dos Cristais.
S108930489,martim-pescador sp.,Alcedinidae sp.,10222,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2018-08-24,,Historical,,0,,,,,,Lista de Mackinnon: Autor: Isadora Machado; Ambiente: urbano; Local: CO
S108930885,martim-pescador sp.,Alcedinidae sp.,10222,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2018-11-05,,Historical,,0,,,,,,Lista de Mackinnon: Autor: Isadora Machado; Ambiente: urbano; Local: CO
S108534394,martim-pescador sp.,Alcedinidae sp.,10222,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-14,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: Urbano; Local: CO-UnB.
S108783422,martim-pescador sp.,Alcedinidae sp.,10222,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-04-01,,Historical,,1,,,,,,Lista de Mackinnon
S108925204,martim-pescador sp.,Alcedinidae sp.,10222,X,BR-DF,Brasília,L18843819,Parque Nacional de Brasília-Barragem,-15.680029,-47.9514848,2019-01-02,,Historical,,1,,,,,,"Lista de Mackinnon: Autor: Isadora Turella, Ambiente: Natural; Local: PNB-barragem."
S108852027,martim-pescador sp.,Alcedinidae sp.,10222,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2019-04-15,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: Urbano; Local: Parque Olhos D'Água
S108867831,joão-bobo,Nystalus chacuru,10297,X,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2019-04-03,,Historical,,1,,,,,,Isadora Turella  borda de mata  Mackinnon
S108925755,joão-bobo,Nystalus chacuru,10297,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2019-01-07,,Historical,,1,,,,,,Lista de Mackinnon: autor: Isadora Turella; Ambiente: natural; Local: PNB-campo sujo
S108864968,joão-bobo,Nystalus chacuru,10297,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2019-09-09,,Historical,,1,,,,,,José Marcos  Mackinnon
S108863542,rapazinho-dos-velhos/do-chaco,Nystalus maculatus,10300,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2019-09-02,,Historical,,1,,,,,,Roberto C
S114038568,ariramba-de-cauda-ruiva,Galbula ruficauda,10393,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-06-29,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: natural; Local: IBGE.
S116123521,ariramba-de-cauda-ruiva,Galbula ruficauda,10393,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-07-29,,Historical,,0,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: Reserva Ecológica do IBGE.
S120034387,ariramba-de-cauda-ruiva,Galbula ruficauda,10393,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-10-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: IBGE.
S108866685,ariramba-de-cauda-ruiva,Galbula ruficauda,10393,X,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2022-02-13,,Historical,,1,,,,,,Isadora Machado  Mackinnon
S108926299,ariramba-de-cauda-ruiva,Galbula ruficauda,10393,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2019-06-19,,Historical,,1,,,,,,Lista de Mackinnon: autor: Isadora Turella; ambiente: natural; local: PNB.
S108969353,ariramba-de-cauda-ruiva,Galbula ruficauda,10393,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2018-03-14,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Débora Tonelli; Ambiente: urbano; Local: Olhos d'água
S108852461,ariramba-de-cauda-ruiva,Galbula ruficauda,10393,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2019-04-15,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: Urbano; Local: Parque Olhos D'Água
S97750591,tucanuçu,Ramphastos toco,10814,1,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-08-27,07:30 AM,Historical,90,1,2.,,3,,,Equipe LaBio observando movimento de aves migratórias.,389037511 389039581
S97686638,tucanuçu,Ramphastos toco,10814,1,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-09-15,07:30 AM,Historical,90,1,3.,,2,,,Dupla da equipe LaBio registrando aves migratórias e eventos reprodutivos .,388677431 388677471
S112292466,tucanuçu,Ramphastos toco,10814,X,BR-DF,Brasília,L19495875,Flona,-15.7864721,-48.057847,2022-06-04,,Historical,,1,,,,,,"Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: flona. obs: Há muitos eucaliptos e pinheiros na flona, mas com áreas de cerrado preservado."
S120034387,tucanuçu,Ramphastos toco,10814,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-10-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: IBGE.
S108868251,tucanuçu,Ramphastos toco,10814,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2018-08-27,,Historical,,1,,,,,,Roberto C  Mackinnon
S108863542,tucanuçu,Ramphastos toco,10814,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2019-09-02,,Historical,,1,,,,,,Roberto C
S108929537,picapauzinho-barrado,Picumnus cirratus,10948,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2018-04-19,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Débora Tonelli; Ambiente: urbano; Local: CO
S108966972,picapauzinho-barrado,Picumnus cirratus,10948,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-09-04,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Gabriela Mourão; Ambiente: urbano; Local: CO.
S119526476,picapauzinho-escamoso,Picumnus albosquamatus,10964,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-09-27,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: CO.
S108867831,picapauzinho-escamoso,Picumnus albosquamatus,10964,X,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2019-04-03,,Historical,,1,,,,,,Isadora Turella  borda de mata  Mackinnon
S93645654,pica-pau-branco,Melanerpes candidus,11031,2,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-23,07:16 AM,Historical,50,1,.99,,2
S108536064,pica-pau-branco,Melanerpes candidus,11031,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-14,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: urbano; Local: CO-UnB.
S115757758,pica-pau-branco,Melanerpes candidus,11031,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-07-25,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: Centro Olímpico UnB
S223743557,pica-pau-branco,Melanerpes candidus,11031,1,BR-DF,Brasília,L42261606,"UnB praça maior, icc",-15.7629071,-47.8686566,2025-03-25,05:00 PM,eBird - Traveling Count,30,1,.5,,2,,,Marília Lima e Roberto Cavalcanti
S108539220,pica-pau-pequeno,Dryobates passerinus,11369,X,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2022-03-19,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Paola; Ambiente: Natural; Local: JBB.
S114038568,Campephilus sp.,Campephilus sp.,11459,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-06-29,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: natural; Local: IBGE.
S96234906,pica-pau-de-banda-branca,Dryocopus lineatus,11639,1,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-10-08,07:30 AM,Historical,90,1,2.,,4,,"Registro do ninho com esmerada abertura, típica da espécie.",Observação de aves migratórias e ciclo reprodutivo sazonal no Centro Olímpico (C.O.). Dr. R. Cavalcanti e 3 estagiárias LaBIO/UnB,380102991
S108867831,pica-pau-de-banda-branca,Dryocopus lineatus,11639,X,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2019-04-03,,Historical,,1,,,,,,Isadora Turella  borda de mata  Mackinnon
S108863542,pica-pau-de-banda-branca,Dryocopus lineatus,11639,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2019-09-02,,Historical,,1,,,,,,Roberto C
S108866145,pica-pau-de-banda-branca,Dryocopus lineatus,11639,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2021-02-10,,Historical,,1,,,,,,Roberto C  centro visitantes
S81628216,pica-pau-de-banda-branca,Dryocopus lineatus,11639,2,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2021-02-12,07:30 AM,eBird - Traveling Count,40,1,.8,,4,,,"Manhã nublada pós chuva. Equipe LaBio se locomovendo nas áreas mais abertas, de construções e estacionamento, interligadas a áreas de cerrado stricto sensu.",308057191 308057391 308057651 308057741
S108851067,pica-pau-verde-barrado,Colaptes melanochloros,11777,X,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2022-04-15,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: Urbano; Local: Praça dos Cristais.
S108966972,pica-pau-verde-barrado,Colaptes melanochloros,11777,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-09-04,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Gabriela Mourão; Ambiente: urbano; Local: CO.
S120034426,pica-pau-verde-barrado,Colaptes melanochloros,11777,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-10-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: IBGE.
S108867361,pica-pau-verde-barrado,Colaptes melanochloros,11777,X,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2019-02-13,,Historical,,1,,,,,,Débora Tonelli  borda de mata  Mackinnon
S97764560,pica-pau-verde-barrado,Colaptes melanochloros,11777,1,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2021-09-24,07:30 AM,Historical,120,1,3.,,3,,,"Orientador e duas estagiárias LaBIO registrando ecossistemas e avifauna, Trilha Mater e paralela do JBB."
S108969353,pica-pau-verde-barrado,Colaptes melanochloros,11777,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2018-03-14,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Débora Tonelli; Ambiente: urbano; Local: Olhos d'água
S108852027,pica-pau-verde-barrado,Colaptes melanochloros,11777,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2019-04-15,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: Urbano; Local: Parque Olhos D'Água
S108850703,pica-pau-verde-barrado,Colaptes melanochloros,11777,X,BR-DF,Brasília,L18832055,Parque Olhos D'Água,-15.744592,-47.8845418,2019-04-17,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: Urbano; Local: Parque Olhos D'Água.
S108819914,pica-pau-do-campo,Colaptes campestris,11814,X,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2019-07-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Thaís Damasceno; Ambiente: Urbano; Local: Praça dos Cristais.
S108535007,pica-pau-do-campo,Colaptes campestris,11814,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-14,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: Urbano; Local: CO-UnB.
S108535463,pica-pau-do-campo,Colaptes campestris,11814,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-14,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: urbano; Local: CO-UnB.
S119526833,pica-pau-do-campo,Colaptes campestris,11814,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-09-27,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: CO.
S109131074,pica-pau-do-campo,Colaptes campestris,11814,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-06-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: natural; Local: FAL.
S109131470,pica-pau-do-campo,Colaptes campestris,11814,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-06-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Fernanda Martins; Ambiente: natural; Local: FAL.
S108868689,pica-pau-do-campo,Colaptes campestris,11814,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2018-05-11,,Historical,,1,,,,,,Isadora Machado  Mackinnon
S108865617,pica-pau-do-campo,Colaptes campestris,11814,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2021-01-22,,Historical,,1,,,,,,Roberto C  murundus  Mackinnon
S223743557,pica-pau-do-campo,Colaptes campestris,11814,1,BR-DF,Brasília,L42261606,"UnB praça maior, icc",-15.7629071,-47.8686566,2025-03-25,05:00 PM,eBird - Traveling Count,30,1,.5,,2,,,Marília Lima e Roberto Cavalcanti
S108939059,Picidae sp.,Picidae sp.,11819,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-06-20,,Historical,,1,,,,,"Na lista está como Picus viridis, uma espécie europeia. Corrigi pois parece se tratar de um erro de identificação. Provavelmente é um Colaptes melanochloros",Lista de Mackinnon: autor: Thaís Damasceno; Ambiente: urbano; Local: CO.
S112292304,seriema,Cariama cristata,11821,X,BR-DF,Brasília,L19495875,Flona,-15.7864721,-48.057847,2022-06-04,,Historical,,1,,,,,,"Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: flona. obs: Há muitos eucaliptos e pinheiros na flona, mas com áreas de cerrado preservado."
S116123482,seriema,Cariama cristata,11821,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-07-29,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: Reserva Ecológica do IBGE.
S112292466,acauã,Herpetotheres cachinnans,11824,X,BR-DF,Brasília,L19495875,Flona,-15.7864721,-48.057847,2022-06-04,,Historical,,1,,,,,,"Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: flona. obs: Há muitos eucaliptos e pinheiros na flona, mas com áreas de cerrado preservado."
S93645270,carcará,Caracara plancus,11847,2,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-16,07:06 AM,Historical,40,1,1.2,,2
S93645586,carcará,Caracara plancus,11847,1,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-21,07:10 AM,Historical,90,1,1.02,,2
