Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S223747524,pombo-doméstico (feral),Columba livia (Feral Pigeon),1832,1,BR-DF,Brasília,L42262478,"UnB CO, campo de futebol",-15.7616794,-47.85845,2025-04-04,04:30 PM,eBird - Traveling Count,30,1,.3,,2,,,Helena Falkenberg e Roberto Cavalcanti
S223742319,pombo-doméstico (feral),Columba livia (Feral Pigeon),1832,1,BR-DF,Brasília,L42261292,UnB Praça Maior,-15.7619203,-47.8676025,2025-03-25,04:30 PM,eBird - Traveling Count,30,1,.5,,2,,,Marília Lima e Roberto Cavalcanti
S223743557,pombo-doméstico (feral),Columba livia (Feral Pigeon),1832,1,BR-DF,Brasília,L42261606,"UnB praça maior, icc",-15.7629071,-47.8686566,2025-03-25,05:00 PM,eBird - Traveling Count,30,1,.5,,2,,,Marília Lima e Roberto Cavalcanti
S108850157,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2019-05-03,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Thaís Damasceno; Ambiente: Urbano; Local: Praça dos Cristais.
S108849327,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2019-06-20,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Thaís Damasceno; Ambiente: Urbano; Local: Praça dos Cristais
S108819914,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2019-07-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Thaís Damasceno; Ambiente: Urbano; Local: Praça dos Cristais.
S93661232,pomba-asa-branca,Patagioenas picazuro,1912,6,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2021-08-04,07:30 AM,Historical,60,1,,,2,,,Observação de aves migratórias da temporada; Orientador RBC e aluna RCC-UnB,363573931
S97812662,pomba-asa-branca,Patagioenas picazuro,1912,3,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2021-11-03,07:30 AM,Historical,60,1,1.,,2,,,Orientador e estagiária LaBIO. Registro de ninhos e observação de aves migratórias e comportamento reprodutivo.,389415481 389415501
S98158717,pomba-asa-branca,Patagioenas picazuro,1912,2,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2021-11-24,07:30 AM,Historical,90,1,1.,,5,,,Orientador e novos estudantes integrantes do LaBIO; observação de ninhos e ninhegos de aves migratórias e locais.
S103719617,pomba-asa-branca,Patagioenas picazuro,1912,7,BR-DF,Brasília,L7347275,Brasília--Praça dos Cristais,-15.7728802,-47.9210624,2022-02-25,07:30 AM,Historical,60,1,1.,,4,,,"Manhã ensolarada. Professor Coordenador, Sr. Roberto Cavalcanti, e 3 estagiários do LaBIO. Observar movimentos migratórios de Tyrannidae (Empidonomus varius, p.ex.)"
S108928547,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2017-11-09,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Machado; Ambiente: urbano; Local: CO- cross cerrado
S108929537,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2018-04-19,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Débora Tonelli; Ambiente: urbano; Local: CO
S108931280,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2018-11-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Machado; Ambiente: urbano; Local: CO.
S108939059,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-06-20,,Historical,,1,,,,,,Lista de Mackinnon: autor: Thaís Damasceno; Ambiente: urbano; Local: CO.
S108939896,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-08-01,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Thaís Damasceno; Ambiente: urbano; Local: CO
S108965169,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-08-17,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Machado; ambiente: urbano; local: CO
S108966972,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-09-04,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Gabriela Mourão; Ambiente: urbano; Local: CO.
S108968789,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2019-12-06,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Beatriz; Ambiente: urbano; Local: CO.
S96234906,pomba-asa-branca,Patagioenas picazuro,1912,4,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-10-08,07:30 AM,Historical,90,1,2.,,4,,,Observação de aves migratórias e ciclo reprodutivo sazonal no Centro Olímpico (C.O.). Dr. R. Cavalcanti e 3 estagiárias LaBIO/UnB,380100371 380100411
S97799463,pomba-asa-branca,Patagioenas picazuro,1912,3,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-10-22,07:30 AM,Historical,120,1,2.,,2,,,Orientador e 2 estagiárias LaBIO observando ninhos e comportamento reprodutivo de aves locais.,389321031 389321051 389324021
S97801576,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2021-10-29,07:30 AM,Historical,120,1,2.,,3,,"Registro de ninho, localizado em trabalho de campo anterior.","Orientador e 2 estagiárias LaBIO. Observação de aves migratórias , reprodução e ninhos.",389338161 389410761
S108534394,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-14,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: Urbano; Local: CO-UnB.
S108535007,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-14,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: Urbano; Local: CO-UnB.
S108782630,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-03-24,,Historical,,1,,,,,,Lista de Mackinnon
S108783079,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-04-01,,Historical,,1,,,,,,Lista de Mackinnon
S112999917,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-06-15,07:23 AM,eBird - Traveling Count,8,1,.19,,1,,,Lista de MacKinnon CO (marcar LaBIO)
S112999918,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-06-15,07:35 AM,eBird - Traveling Count,12,1,.33,,1,,,Lista MacKinnon (marcar LaBIO)
S112983702,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-06-15,07:53 AM,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: urbano; Local: Centro Olímpico UnB.
S112983867,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-06-15,08:21 AM,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: urbano; Local: Centro Olímpico UnB.
S115756966,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-07-25,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: Centro Olímpico UnB
S115757758,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-07-25,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: Centro Olímpico UnB
S115757906,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-07-25,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: Centro Olímpico UnB
S119526476,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2022-09-27,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: urbano; Local: CO.
